"label","episode","n_unseen","n_learned","competitor_survival","n_runs"
"Goldilocks",1000,577.9,0,0.584081157863826,10
"Goldilocks",1500,441,0,0.584823877523492,10
"Goldilocks",2000,331.7,0,0.571873655460441,10
"Goldilocks",2500,244.8,0,0.56939171580903,10
"Goldilocks",3000,176.2,0,0.559186945809112,10
"Goldilocks",3500,129.5,0,0.552876791207765,10
"Goldilocks",4000,85.3,0.1,0.535008968885856,10
"Goldilocks",4500,53.1,2.8,0.510853020010178,10
"Goldilocks",5000,32.7,12.3,0.475894136259134,10
"Goldilocks",5500,18.7,46.6,0.446786118506417,10
"Goldilocks",6000,7.5,129.8,0.384153674679756,10
"Goldilocks",6500,1.7,318,0.283813085579269,10
"Goldilocks",7000,0.1,592.6,0.231033367257006,10
"Goldilocks",7500,0,838.9,0.369323677369168,10
"Goldilocks",8000,0,958.4,0.720438571428571,10
"Goldilocks",8500,0,984,0.945933333333333,10
"Unrestricted active",500,790.3,0,0.760180674920433,10
"Unrestricted active",1000,665.5,0,0.810800027842548,10
"Unrestricted active",1500,577,0,0.830167213448249,10
"Unrestricted active",2000,503.9,0,0.832316911348863,10
"Unrestricted active",2500,445.9,0.2,0.843457240852708,10
"Unrestricted active",3000,390.3,0.5,0.844167857447419,10
"Unrestricted active",3500,343.7,0.6,0.837561801738728,10
"Unrestricted active",4000,304.5,0.7,0.841809662444484,10
"Unrestricted active",4500,269.2,0.9,0.841139445623155,10
"Unrestricted active",5000,240.2,1.1,0.83954208136651,10
"Unrestricted active",5500,214.9,1.2,0.84193096588611,10
"Unrestricted active",6000,191.5,1.5,0.848947560065448,10
"Unrestricted active",6500,170.2,2.2,0.83875512589903,10
"Unrestricted active",7000,151.6,3.6,0.841078420105213,10
"Unrestricted active",7500,133.5,4.7,0.836730393248037,10
"Unrestricted active",8000,117.6,7.8,0.828864459138952,10
"Unrestricted active",8500,103.7,14.3,0.811375779804489,10
"Unrestricted active",9000,89.9,22.4,0.795517908469889,10
"Unrestricted active",9500,76.4,34.1,0.774760241484688,10
"Unrestricted active",10000,63.2,51.4,0.739351931891488,10
"Unrestricted active",10500,50.2,74.8,0.714091755965273,10
"Unrestricted active",11000,39.4,107,0.679576056130528,10
"Unrestricted active",11500,30.2,147.8,0.641551107135423,10
"Unrestricted active",12000,22.7,206.1,0.593239954558981,10
"Unrestricted active",12500,15.7,277.8,0.564862358714174,10
"Unrestricted active",13000,9.4,373.2,0.517377099116303,10
"Unrestricted active",13500,5.2,490.2,0.49202427126424,10
"Unrestricted active",14000,3,633.1,0.447161172396957,10
"Unrestricted active",14500,1.1,781.8,0.499151139712976,10
"Unrestricted active",15000,0.3,898.7,0.645272731750195,10
"Unrestricted active",15500,0.2,962.3,0.822594119558349,10
"Unrestricted active",16000,0,980,0.914105574734586,6
