"dec1","dec2","dec3","dec4","dec5","dec6","dec7","dec8","dec9","episodes","censored","model","C","M","a","active","uniform","fam_context","cell_elapsed_secs","sweep","active_prob","active_policy","choice_k_label"
1586,3120,5069,6755,8817,11046,13470,16077,18514,21443,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1558,3229,4844,6651,8748,10590,12629,15154,18112,21246,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1494,3094,5062,6894,8554,11104,13643,16410,19467,22552,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1716,3337,5344,6897,8625,10660,12932,15147,18039,21695,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1622,3204,4676,6423,8436,10518,12954,15158,17941,20931,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1528,3365,4974,7032,8741,11023,13487,15802,18647,22383,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1674,3102,4965,6811,8835,10581,12603,15001,17585,20805,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1739,3143,4841,6448,8468,10171,12261,14747,17576,20808,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1814,3355,5053,6720,8682,11074,13468,16128,18723,22002,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1588,3361,4934,6561,8467,10655,12726,15133,17796,20390,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1727,3100,4934,6679,8479,10489,12494,14674,17770,21625,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1460,3144,5014,6728,8677,10671,12743,15138,17581,20372,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1643,3328,4862,6681,8668,10683,13147,15647,18554,21013,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
1719,3339,5176,6605,8360,10193,12568,14878,17459,20233,0,"eliminative",10,1000,1,"Passive","Zipfian","Random",62.1401579380035,"active_prob",0.1,"unknown","Inf"
