scene,rater1,rater2,rater3,rater4,rater5,mean,variance,,,,,
igloo                        ,4,4,3,2,4,3.4,0.8,,,,,
kiosk/indoor                 ,4,4,3,2,4,3.4,0.8,,,,,
kiosk/outdoor                ,4,4,3,2,4,3.4,0.8,,,,,
lido_deck/indoor             ,3,3,3,5,3,3.4,0.8,,,,,
lido_deck/outdoor            ,3,3,3,5,3,3.4,0.8,,,,,
lyceum                       ,3,3,3,5,3,3.4,0.8,,,,,
promenade                    ,4,4,3,2,4,3.4,0.8,,,,,
promenade_deck               ,4,4,3,2,4,3.4,0.8,,,,,
skywalk/indoor               ,3,3,3,3,5,3.4,0.8,,,,,
skywalk/outdoor              ,3,3,3,3,5,3.4,0.8,,,,,
cottage                      ,5,3,3,3,3,3.4,0.8,,,,,
cottage_garden               ,5,3,3,3,3,3.4,0.8,,,,,
hallway                      ,5,3,3,3,3,3.4,0.8,,,,,
hotel_room                   ,5,3,3,3,3,3.4,0.8,,,,,
lake/natural                 ,5,3,3,3,3,3.4,0.8,,,,,
patio                        ,5,3,3,3,3,3.4,0.8,,,,,
patio_indoor                 ,5,3,3,3,3,3.4,0.8,,,,,
plaza                        ,5,3,3,3,3,3.4,0.8,,,,,
porch                        ,5,3,3,3,3,3.4,0.8,,,,,
reading_room                 ,5,3,3,3,3,3.4,0.8,,,,,
reception                    ,5,3,3,3,3,3.4,0.8,,,,,
reception_room               ,5,3,3,3,3,3.4,0.8,,,,,
sun_deck                     ,5,3,3,3,3,3.4,0.8,,,,,
train_station/outdoor        ,5,3,3,3,3,3.4,0.8,,,,,
train_station/platform       ,5,3,3,3,3,3.4,0.8,,,,,
waiting_room                 ,5,3,3,3,3,3.4,0.8,,,,,
washroom                     ,5,3,3,3,3,3.4,0.8,,,,,
barbershop                   ,4,2,3,3,5,3.4,1.3,,,,,
barn                         ,4,2,3,3,5,3.4,1.3,,,,,
bakery/shop                  ,5,4,3,3,2,3.4,1.3,,,,,
seaside                      ,5,4,3,3,2,3.4,1.3,,,,,
shore                        ,5,3,3,4,2,3.4,1.3,,,,,
van_interior                 ,5,3,2,4,3,3.4,1.3,,,,,
campus                       ,4,2,4,5,2,3.4,1.8,,,,,
videostore                   ,4,2,4,5,2,3.4,1.8,,,,,
alcove                       ,3,4,3,3,3,3.2,0.2,,,,,
bridle_path                  ,4,3,3,3,3,3.2,0.2,,,,,
building_complex             ,4,3,3,3,3,3.2,0.2,,,,,
chair_lift                   ,4,3,3,3,3,3.2,0.2,,,,,
chalet                       ,4,3,3,3,3,3.2,0.2,,,,,
corn_field                   ,4,3,3,3,3,3.2,0.2,,,,,
country_house                ,4,3,3,3,3,3.2,0.2,,,,,
dining_car                   ,4,3,3,3,3,3.2,0.2,,,,,
dining_hall                  ,4,3,3,3,3,3.2,0.2,,,,,
dining_room                  ,4,3,3,3,3,3.2,0.2,,,,,
dressing_room                ,4,3,3,3,3,3.2,0.2,,,,,
driveway                     ,4,3,3,3,3,3.2,0.2,,,,,
drugstore                    ,4,3,3,3,3,3.2,0.2,,,,,
elevator/interior            ,4,3,3,3,3,3.2,0.2,,,,,
elevator_lobby               ,4,3,3,3,3,3.2,0.2,,,,,
entrance_hall                ,4,3,3,3,3,3.2,0.2,,,,,
entranceway_indoor           ,4,3,3,3,3,3.2,0.2,,,,,
entranceway_outdoor          ,4,3,3,3,3,3.2,0.2,,,,,
entryway_outdoor             ,4,3,3,3,3,3.2,0.2,,,,,
